;unique_id;name;strasse_nr;art;lieferung;fon;place_id;bezirk;lat;lng;types;price_level;rating;user_ratings_total
0;262;Brasserie la bonne franquette;Chausseestraße 110;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493094405363;ChIJow5SxuxRqEcRpk680jewg50;Mitte;52.53113130000001;13.3820307;['restaurant', 'food', 'point_of_interest', 'establishment'];;4.4;210
1;963;sagrantino 136;Linienstraße 136;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493027909683;ChIJU6pM1j5RqEcRblPfq5OJZp4;Mitte;52.526346;13.3890424;['restaurant', 'food', 'point_of_interest', 'establishment'];;4.5;103
2;1227;CAFE RIBO;Ackerstraße 157;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4917621455203;ChIJm3_SgO9RqEcRPsCFGSCiw4U;Mitte;52.5308912;13.3966282;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];;4.7;37
3;177;Alpenstück;Gartenstraße 9;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493021751646;ChIJR2gy_e5RqEcRRJE4cQBY_ug;Mitte;52.5302107;13.3919439;['restaurant', 'food', 'point_of_interest', 'establishment'];3;4.1;448
4;270;Risorante Bonfini;Chausseestraße 15;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493095614848;ChIJhx78J9EjZUERI2jYna3X5pI;Mitte;52.5295573;13.3845739;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.2;516
5;1144;Distrikt Coffee;Bergstraße 68;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917643271897;ChIJ--YdvO9RqEcRWbP6iaXaoew;Mitte;52.5315905;13.3941167;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];2;4.4;1576
6;20;Restaurant einsunternull;Hannoversche Straße 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493027577810;ChIJ_7T13OtRqEcRykkW1_-ATbc;Mitte;52.5272158;13.386004;['restaurant', 'food', 'point_of_interest', 'establishment'];4;4;283
7;195;Cafe Hermann Eicke;Brunnenstraße 45;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493088538222;ChIJ0awbwfBRqEcR-ZGkXYpSkSo;Mitte;52.5373329;13.3970559;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];1;4.4;330
8;1162;Chicago Williams Berlin-Mitte GmbH;Hannoversche Straße 2;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493028042423;ChIJ4Wce2-tRqEcRcPKUr56ZrA8;Mitte;52.5271865;13.3857927;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.3;1719
9;1164;eins essenundtrinken;eichendorffstraße 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493099278701;ChIJ35Aup-5RqEcRmTP_hn5md_8;Mitte;52.5294801;13.3881074;['restaurant', 'food', 'point_of_interest', 'establishment'];2;4.7;72
