;name;city;bezirk;street_nr;lat;lng;types;business_status;price_level;rating;user_ratings_total
ChIJow5SxuxRqEcRpk680jewg50;La Buvette Steakhouse;Berlin;Mitte;Chausseestraße 110;52.53113130000001;13.3820307;['restaurant', 'food', 'point_of_interest', 'establishment'];CLOSED_TEMPORARILY;;4.4;210
ChIJU6pM1j5RqEcRblPfq5OJZp4;Sagrantino 136;Berlin;Mitte;Linienstraße 136;52.526346;13.3890424;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.5;103
ChIJm3_SgO9RqEcRPsCFGSCiw4U;Cafe Ribo;Berlin;Mitte;Ackerstraße 157;52.5308912;13.3966282;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;;4.7;37
ChIJhx78J9EjZUERI2jYna3X5pI;Bonfini;Berlin;Mitte;Chausseestraße 15;52.5295573;13.3845739;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.2;516
ChIJ_7T13OtRqEcRykkW1_-ATbc;einsunternull;Berlin;Mitte;Hannoversche Straße 1;52.5272158;13.386004;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;4;4;283
ChIJ0awbwfBRqEcR-ZGkXYpSkSo;Cafe Hermann Eicke;Berlin;Mitte;Brunnenstraße 45;52.5373329;13.3970559;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;1;4.4;330
ChIJ4Wce2-tRqEcRcPKUr56ZrA8;Chicago Williams BBQ;Berlin;Mitte;Hannoversche Straße 2;52.5271865;13.3857927;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.3;1719
ChIJ35Aup-5RqEcRmTP_hn5md_8;Eins Essen und Trinken;Berlin;Mitte;Eichendorfstraße 1;52.5294801;13.3881074;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.7;72
ChIJt7KO1-hRqEcRLT4aTcLRDvs;Nhat Long Restaurant;Berlin;Mitte;Torstraße 210;52.5276764;13.3908849;['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4;337
ChIJ6c3F8-VRqEcRiicxeI5EOTI;royals & rice Berlin;Berlin;Mitte;Torstraße 164;52.5289083;13.3960806;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.3;800
ChIJ3eIXp-BRqEcRJBreG-BVHkU;rebenkind;Berlin;Mitte;Invalidenstraße 104;52.5298558;13.3812124;['bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;;5;16
ChIJ56t3-ZBRqEcRMfNqcJgpjfA;Esszimmer;Berlin;Mitte;Scharnhorststraße 28-29;52.53360299999999;13.371011;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.4;255
ChIJLc-Nv-VRqEcRPoL5jV8hMaI;Röststätte;Berlin;Mitte;Ackerstraße 173;52.5290239;13.3974463;['cafe', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;;4.5;295
ChIJE28svuVRqEcREm-W3-MdbkM;VA espresso machines;Berlin;Mitte;Torstraße 154;52.52918340000001;13.3973354;['point_of_interest', 'establishment'];OPERATIONAL;;3.9;7
ChIJ28bx5PJUqEcR4Rw1KnQ3SIg;pro macchina da caffè;Berlin;Bezirk Reinickendorf;Hermsdorfer Damm 69;52.60808000000001;13.29203;['bar', 'point_of_interest', 'establishment'];OPERATIONAL;;3.5;2
ChIJ18Mc3-BRqEcRGfPwlRhCovA;Röststätte Berlin;Berlin;Berlin;Mitte DE;52.5241984;13.4022848;['cafe', 'bar', 'food', 'point_of_interest', 'store', 'establishment'];CLOSED_TEMPORARILY;2;4.4;217
ChIJsdLQZjVRqEcRKJLpQY9_tRI;Pawn Dot Com Bar;Berlin;Mitte;Torstraße 164;52.5288602;13.3959879;['bar', 'point_of_interest', 'establishment'];OPERATIONAL;;4.7;88
ChIJJdCKFdBRqEcRO5Uz93cVPWM;Hito Falafel;Berlin;Mitte;Chauseestraße 4;52.5277295;13.3868654;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.9;66
ChIJgx1C4hpPqEcRr-bIXXakW-4;Essen statt Kochen;Berlin;Bezirk Lichtenberg;Gustav-Holzmann-Straße 10;52.4923091;13.4866682;['food', 'point_of_interest', 'establishment'];OPERATIONAL;;3.9;52
ChIJLbGX7uZRqEcRWEE5iayCkRM;CORDO_Berlin;Berlin;Mitte;Große Hamburger Straße 32;52.5257528;13.3989278;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;3;4.5;320
ChIJQwHEa9BRqEcRp_3YUzY8dos;Izumi Restaurant-Sushi Bar & Lieferservice;Berlin;Mitte;Kronenstraße 66;52.5112976;13.3886859;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.3;930
ChIJC1K7FtpRqEcRKaihutliQas;Quchnia;Berlin;Mitte;Markgrafenstraße 35;52.51285;13.39366;['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;3.8;631
ChIJ57kGIcJRqEcRUdFUCT_QMVA;Restaurant ALvis;Berlin;Mitte;Albrechtstraße 8;52.52204399999999;13.384416;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.4;128
ChIJI_4-oM9RqEcRgazfdDzpfkA;Peking Ente Berlin;Berlin;Mitte;Voßstraße 1;52.511512;13.3828664;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.1;1284
ChIJb8Yo1OdRqEcR1tNPIs-ssTE;acht&dreissig;Berlin;Mitte;Oranienburger Straße 38;52.5254913;13.391468;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.5;574
ChIJoVtum9BRqEcRaUJq-_Vs-10;cadadia - Suppenbar Café & Catering;Berlin;Mitte;Charlottenstraße 63;52.5114972;13.3913299;['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.1;154
ChIJx18rIA5HqEcRaUtp_44Pb_Q;cadadia;Berlin;Bezirk Treptow-Köpenick;Rudower Chaussee 39;52.42853940000001;13.5254995;['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.2;18
ChIJmx6qw9ZRqEcRSxGJOtSEicI;Soupkultur;Berlin;Mitte;Markgrafenstraße 22;52.5080846;13.3943936;['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;1;3.7;83
ChIJ9UK3L8JRqEcRl9yXOJuUiUk;Körner & Co KG Soup Kultur;Berlin;Mitte;Albrechtstraße 11;52.5215001;13.38466;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;;0
ChIJ9doHMh5OqEcRkqHEbX0Va4w;Katharina Körner & Co.Kg;Berlin;Mitte;Rosa-Luxemburg-Straße 7;52.52386000000001;13.4092;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4;2
ChIJ20u7sv5QqEcRuQJ_BO9mx4Q;Soupkultur;Berlin;Bezirk Charlottenburg-Wilmersdorf;Kurfürstendamm 224;52.5029761;13.3293854;['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;3.3;44
ChIJs8Eh7PpRqEcRJOxHAkguOUY;Chupenga GmbH;Berlin;Mitte;Fehrbelliner Straße 47;52.53450999999999;13.40039;['point_of_interest', 'establishment'];OPERATIONAL;;;0
ChIJWXZnG9pRqEcRutGb2PX0qOI;Chupenga Burritos & Salads;Berlin;Mitte;Mohrenstraße 42;52.5124985;13.3943483;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.4;891
ChIJy7lLl-lRqEcRJ6T5N2nJr1w;Roma;Berlin;Mitte;Friedrichstraße 129;52.52506529999999;13.387153;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.1;870
ChIJp8FzcOlRqEcRqpFCa1TtPy0;Subway;Berlin;Mitte;Friedrichstraße 114;52.52652759999999;13.3874296;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.4;345
ChIJYS1LpsRRqEcRKV_Xls2gKPs;Treffpunkt Berlin;Berlin;Mitte;Mittelstraße 55;52.5179165;13.3882839;['restaurant', 'bar', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.4;967
ChIJKa-6XscjZUERe5ZL21HuYrI;Berlin Capital Club;Berlin;Mitte;Mohrenstraße 30;52.51189979999999;13.3928119;['point_of_interest', 'establishment'];OPERATIONAL;;4.7;95
ChIJxTDlQPZRqEcRQOp93bRRO4E;ERDINGER am Gendarmenmarkt;Berlin;Mitte;Jägerstraße 56;52.5145354;13.3933556;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;3.9;357
ChIJDaVpwcVRqEcR1V-TJQ4yYbA;Block House Friedrichstraße;Berlin;Mitte;Friedrichstraße 100;52.520458;13.388587;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.5;3014
ChIJF8cBIMJRqEcRH9JOT3BslNU;Pizzeria Marienkäfer;Berlin;Mitte;Marienstraße 18;52.52236449999999;13.3841801;['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;1;4.5;453
ChIJRexZgOhRqEcRm_-_whvBkcs;Vino & Basilico;Berlin;Mitte;Tucholskystraße 18/20;52.5253635;13.3932914;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.5;739
ChIJK2FOMcJRqEcRy5vIDvdzP2Q;Machiavelli;Berlin;Mitte;Albrechtstraße 13;52.5212777;13.385297;['restaurant', 'meal_takeaway', 'cafe', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.1;441
ChIJBx9rftpRqEcRupd9FMZJ5gA;Nanoosh;Berlin;Mitte;Mohrenstraße 50;52.51230529999999;13.3911178;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4;409
ChIJtxFydelRqEcRMRpzCF-gqPw;espresso-ambulanz;Berlin;Mitte;Oranienburger Straße 51;52.5260286;13.3879951;['cafe', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;2;4.5;303
ChIJHa_Ak8FRqEcR2V5tDfoBFPU;Restaurant CHOI;Berlin;Bezirk Pankow;Fehrbelliner Straße 4;52.5310027;13.4102476;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.7;147
ChIJo_0q7ORRqEcRbowoQuoAblc;Café Datscha Mitte;Berlin;Mitte;Weinbergsweg 25;52.53060730000001;13.4017016;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];CLOSED_TEMPORARILY;2;4.2;1385
ChIJo_0q7ORRqEcRRgXL-99sizY;Hammer & Sichel GbR;Berlin;Mitte;Weinbergsweg 25;52.53074;13.40147;['point_of_interest', 'establishment'];OPERATIONAL;;;0
ChIJ69_cOQRRqEcR4evzZa3LpKU;Ryong;Berlin;Bezirk Pankow;Torstraße 59;52.529074;13.4089876;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.5;651
ChIJ2TcU5eNRqEcRQ7R-rfEdfQo;Muret La Barba;Berlin;Mitte;Rosenthaler Straße 61;52.52751920000001;13.4034784;['bar', 'liquor_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;2;4.1;243
ChIJAQCzWqVRqEcRIKoo5i1qGX0;Kebap with attitude;Berlin;Mitte;Gipsstraße 2;52.5272108;13.3990791;['restaurant', 'bar', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.3;565
ChIJ--g8-PxRqEcRxV2mfEdI9hs;PAPPA E CICCIA;Berlin;Bezirk Pankow;Schwedter Straße 18;52.534321;13.408482;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.1;271
ChIJDygZZPtRqEcRMfa3mz6wHuA;Aapka - Indisches Restaurant Berlin;Berlin;Mitte;Kastanienallee 50;52.5339935;13.4047789;['meal_takeaway', 'cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.1;689
ChIJ0dM_p-JRqEcRLf5rbdVPZAA;Fleischerei;Berlin;Bezirk Pankow;Schönhauser Allee 8;52.52980600000001;13.4105318;['restaurant', 'bar', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;3;4.2;620
ChIJNacWhidOqEcRstfdBVU4E7Y;Rotisserie Weingrün;Berlin;Mitte;Gertraudenstraße 10-12;52.51261659999999;13.4029284;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;3;4.5;644
ChIJ1zUeNOBRqEcR3KFIDPHd630;Tuans Hütte Thai u. Sushi;Berlin;Mitte;Dircksenstraße 40;52.5235313;13.4070612;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.2;644
ChIJEY8-PeFRqEcRB42FvWxpvVA;Sophien 11;Berlin;Mitte;Sophienstraße 11;52.52500000000001;13.4027778;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.3;415
ChIJ9doHMh5OqEcRpBuTy_JIHzY;Dolores Mitte;Berlin;Mitte;Rosa-Luxemburg-Straße 7;52.52386000000001;13.4092;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;1;4.4;3897
ChIJM9lUPudRqEcR_39uL7qeDqU;dean&david;Berlin;Mitte;Monbijouplatz 5;52.5235359;13.398903;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];CLOSED_TEMPORARILY;2;4.1;476
ChIJVzaiejpRqEcR3dH5Vap8y9E;Vadoli;Berlin;Mitte;Oranienburger Straße 13;52.5238316;13.3985704;['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4;192
ChIJTc1KSh5OqEcRdYUVZlCTfGw;L'Osteria Berlin Memhardstraße;Berlin;Mitte;Memhardstraße 3;52.52368;13.41031;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.2;2230
ChIJm_HLX99RqEcRiydKq4B0-a4;Alt-Berliner Gasthaus Julchen Hoppe;Berlin;Mitte;Rathausstraße 25;52.51735730000001;13.4050822;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.2;1075
ChIJSTChU-dRqEcRW8rU0O05yvk;Olla - Grill & Orient Lounge;Germany;Berlin;Mitte Berlin;52.52224469999999;13.3992541;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;3.6;358
ChIJJQ4peMYjZUERGRMjwXNM1Qw;Zille-Stube;Berlin;Mitte;Spreeufer 3;52.5160484;13.4058285;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.2;342
ChIJobfQtiBOqEcRm9sZgIG5vd0;Café & Restaurant Spreeblick;Berlin;Mitte;Propststraße 9;52.51620130000001;13.405823;['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.2;549
ChIJobfQtiBOqEcRvRyfyhs7CbQ;Zille-Destille;Berlin;Mitte;Propststraße 10;52.516399;13.406171;['bar', 'point_of_interest', 'establishment'];OPERATIONAL;;4.7;324
ChIJfS0kcCNOqEcRO1W_7PLO48E;Ännchen von Tharau;Berlin;Mitte;Rolandufer 6;52.5153688;13.4166062;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;1;4.1;187
ChIJ1WEbzyNOqEcRKqrOGWDKPMs;Zur letzten Instanz;Berlin;Mitte;Waisenstraße 14-16;52.517369;13.4137945;['bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.1;2115
ChIJe5syLQZPqEcRnOVwF3A3ZR0;Spreemittag;Berlin;Mitte;Wilhelmine-Gemberg-Weg 14;52.5104534;13.4255697;['point_of_interest', 'establishment'];OPERATIONAL;;5;3
ChIJW_gUyi9OqEcRDq8NWrTcZmw;Sushi For You Mitte;Berlin;Mitte;Heinrich-Heine-Straße 29;52.506995;13.4135707;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;3.8;113
ChIJlx51eF5OqEcR_g97GYMA5ig;Sushi For You Friedrichshain;Berlin;Bezirk Friedrichshain-Kreuzberg;Boxhagener Straße 109;52.51311399999999;13.4573543;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;3.1;127
ChIJmzyTT0JSqEcRxQ_OAeRK-Ek;Sushi For You Pankow;Berlin;Bezirk Pankow;Grabbeallee 17;52.57289340000001;13.3986553;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;3.5;169
ChIJD-PcdL5PqEcR1khkYKjKq0A;The Commons Restaurant Berlin;Berlin;Mitte;Alexanderstraße 40;52.5165888;13.4177083;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.1;30
ChIJ2TqBc1lPqEcRpPfYZIPHrMY;YADA YADA baked potatoes,salads...and more;Berlin;Mitte;Kommandantenstraße 71;52.5084675;13.4035557;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;5;8
ChIJGcZbblBOqEcR5cTGTkNfGlw;Michelberger Hotel;Berlin;Bezirk Friedrichshain-Kreuzberg;Warschauer Straße 39-40;52.5045958;13.4478806;['night_club', 'cafe', 'lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.4;1662
ChIJGcZbblBOqEcR9A85JuJ7yYA;Michelberger Booze Company Ltd.;Berlin;Bezirk Friedrichshain-Kreuzberg;Warschauer Straße 39;52.5045448;13.4479436;['point_of_interest', 'establishment'];OPERATIONAL;;;0
ChIJn-EIb1BOqEcRWIuoaTbw6f4;Michelberger Restaurant;Berlin;Bezirk Friedrichshain-Kreuzberg;Warschauer Straße 39;52.50465500000001;13.447917;['restaurant', 'food', 'point_of_interest', 'establishment'];CLOSED_TEMPORARILY;;4.3;300
ChIJ17EosS1PqEcRG7Rit-l2brI;Tony Roma's;Germany;Berlin;Bezirk Friedrichshain-Kreuzberg Berlin;52.5051914;13.4431223;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;3;4.4;1691
ChIJaeRNwk1PqEcR2_rp-a7TVAw;Rice Rolls Berlin;Berlin;Bezirk Friedrichshain-Kreuzberg;Straße der Pariser Kommune 27;52.5154;13.43977;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;;4.4;32
ChIJqbpNxEZOqEcRViO_0U4FCEc;Volkskammer;Germany;Berlin;Bezirk Friedrichshain-Kreuzberg Berlin;52.511211;13.438171;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;4.3;1177
ChIJGVFYHEdOqEcRuDtQc6X8cCw;McDonald's;Berlin;Bezirk Friedrichshain-Kreuzberg;Am Ostbahnhof 9;52.50976089999999;13.4346905;['restaurant', 'food', 'point_of_interest', 'establishment'];OPERATIONAL;2;2.8;770
ChIJ7RI7dEJOqEcRpkX4ETY_pTY;Fleischerei Neuling;Berlin;Bezirk Friedrichshain-Kreuzberg;Karl-Marx-Allee 108;52.5163722;13.4454861;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];OPERATIONAL;;4.1;86
ChIJ38sGoF1OqEcR0Ow2JvpOo2E;LION BURGER;Berlin;Bezirk Friedrichshain-Kreuzberg;Warschauer Straße 82;52.5143861;13.4538898;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];CLOSED_TEMPORARILY;2;4.5;749
