,name,strasse_nr,bezirk,lat,lng,types,delivery,franchise,food_type,price_lvl,nr_ratings,rating,angebot
262,Brasserie la bonne franquette,Chausseestraße 110,Mitte,52.53113130000001,13.3820307,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['französisch'],Unknown,210,4.4,Klassische Französische Küche
963,sagrantino 136,Linienstraße 136,Mitte,52.526346,13.3890424,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,[],Unknown,103,4.5,"Italian fusion kitchen  3 -course menus by Matias Diaz  auch  a la  carte möglich zu  bestellen  , mit dem passenden Wein."
1227,CAFE RIBO,Ackerstraße 157,Mitte,52.5308912,13.3966282,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",False,False,[],Unknown,37,4.7,"Maultaschen, schwäbische küche, cafe"
177,Alpenstück,Gartenstraße 9,Mitte,52.5302107,13.3919439,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['deutsch', 'suppe']",Expensive,448,4.1,"Süddeutsche Spezialitäten wie Maultaschen Königsberger Klopse, Spätzle, Gulasch, Suppen"
270,Risorante Bonfini,Chausseestraße 15,Mitte,52.5295573,13.3845739,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['italienisch', 'pasta', 'pizza']",Moderate,516,4.2,"Italienische Küche, Pasta und Pizza"
1144,Distrikt Coffee,Bergstraße 68,Mitte,52.5315905,13.3941167,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",True,False,[],Moderate,1576,4.4,"Specialty coffee, drinks, brunch, lunch, pastries and cakes"
20,Restaurant einsunternull,Hannoversche Straße 1,Mitte,52.5272158,13.386004,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,[],Very Expensive,283,4.0,Berliner Proviant Box mit Wein
195,Cafe Hermann Eicke,Brunnenstraße 45,Mitte,52.5373329,13.3970559,"['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",False,False,['kaffee'],Inexpensive,330,4.4,"Kaffee,Backwaren, Mittagslunch"
1162,Chicago Williams Berlin-Mitte GmbH,Hannoversche Straße 2,Mitte,52.5271865,13.3857927,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,['bbq'],Moderate,1719,4.3,BBQ Menü
1164,eins essenundtrinken,eichendorffstraße 1,Mitte,52.5294801,13.3881074,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,['regional'],Moderate,72,4.7,"regional nicht festgelegt, taeglich wechselnder mittagstisch"
296,Nhat Long Restaurant,Torstraße 210,Mitte,52.5276764,13.3908849,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",True,False,['asiatisch'],Moderate,337,4.0,Asiatische Küche
1253,Royals&Rice Berlin,Torstraße 164,Mitte,52.5289083,13.3960806,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['burger', 'vegan', 'sushi']",Moderate,800,4.3,"Unser kulinarisches Angebot bietet eine Vielzahl unterschiedlichster Köstlichkeiten. Hierzu gehören u.a. vietnamesisches Streetfood, Bao-Burger, klassisches und veganes Sushi, besondere Sommerrollen, kreative Currys und vieles mehr"
206,beets&roots,Große-Hamburger Straße 38,Mitte,52.5266445,13.398588,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,['bowl'],Moderate,636,4.2,"Fresh & Healthy bowls, salads & wraps"
994,rebenkind,Invalidenstraße 104,Mitte,52.5298558,13.3812124,"['bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment']",True,False,[],Unknown,16,5.0,"Weinladen, Vinothek & Online-Shop (Weine, Spirituosen und Spezialitäten)"
1174,Restaurant Esszimmer,Scharnhorststraße 28-29,Mitte,52.53360299999999,13.371011,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['deutsch', 'regional']",Moderate,255,4.4,Deutsche und regionale Küche
830,Café Bar Central,Brunnenstraße 49,Mitte,52.5381604,13.3965464,"['cafe', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",False,False,"['kaffee', 'salat']",Moderate,253,4.3,"Kaffeespezialitäten, Backwaren, Sandwiches, kalte und warme Speisen/Lunch, Salate"
131,Subway Catering,Chausseestraße 22,Mitte,52.530865,13.3829595,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,True,[],Moderate,621,3.9,"Sandwichplatten, Cookieschalen, Getränke"
130,Subway,Am Borsigturm 2,Am Borsigturm,52.5860043,13.2866924,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,True,['salat'],Moderate,246,4.1,"Sandwiches, Salate, Wraps, Cookies"
399,Subway,Tempelhofer Damm 227,Am Borsigturm,52.5860043,13.2866924,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,True,['salat'],Moderate,246,4.1,"Lust auf ein Chicken Teriyaki Sub, einen Roasted Chicken Salat oder die leckersten Cookies der Welt? Dann haben wir gute Nachrichten! Alle Produkte von Subway® könnt Ihr jetzt einfach und schnell über Lieferando.de bestellen und zuhause genießen."
1011,Bötzow Privat,Linienstraße 113,Mitte,52.5274935,13.3926564,"['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",True,False,['deutsch'],Moderate,281,4.4,"Deutsche Küche, Wiener Schnitzel..."
234,Röststätte Berlin,Ackerstraße 173,Mitte,52.5290239,13.3974463,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']",False,False,"['kaffee', 'kuchen']",Unknown,295,4.5,"Frisch geröstete Kaffee - und Espressobohnen, Kaffeegetränke, Kaffeespezialitäten zu Mitnehmen, Frische Backwaren, Kuchen und Torten zum Mitnehmen"
236,Bowls & Booze,Torstraße 164,Mitte,52.5288602,13.3959879,"['bar', 'point_of_interest', 'establishment']",True,False,[],Unknown,88,4.7,"Food und Drink Kooperation mit den ""Gebrüder Eggert"". Wir bieten 3 ""Food + Drink Menüs"" an. Leckeres Essen mit den dazu passenden Getränken, mit oder ohne Alkohol. Zum abholen oder liefern."
675,Hito Falafel,Chausseestraße 4,Mitte,52.5277295,13.3868654,"['restaurant', 'food', 'point_of_interest', 'establishment']",False,False,"['arabisch', 'orientalisch']",Unknown,66,4.9,Arabische-Orientalische Küche
593,Essen statt Kochen Lieferservice,Rheinsberger Straße 1,Lichtenberg,52.4923091,13.4866682,"['food', 'point_of_interest', 'establishment']",True,False,['international'],Unknown,52,3.9,Internationale moderne Hausmannskost
244,Essen statt Kochen,Am Treptower Park 51,Lichtenberg,52.4923091,13.4866682,"['food', 'point_of_interest', 'establishment']",True,False,['international'],Unknown,52,3.9,"Moderne Küche, Internationale Gerichte"
770,CORDO,Große Hamburger Straße 32,Mitte,52.5257528,13.3989278,"['restaurant', 'food', 'point_of_interest', 'establishment']",True,False,[],Expensive,320,4.5,Michelin besterntes Fine Dining
308,Izumo Restaurant-Sushi Bar,Kronenstraße 66,Mitte,52.5112976,13.3886859,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",True,False,"['japanisch', 'sushi']",Moderate,930,4.3,"Japanische Küche, Sushi"
1231,JOSEPH Restaurant,Friedrichstraße 113,Mitte,52.525958,13.3875966,"['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",False,False,[],Unknown,189,4.3,Isrealiesche Küche
