id;name;strasse_nr;bezirk;lat;lng;types;delivery;price_lvl;nr_ratings;rating
262;Brasserie la bonne franquette;Chausseestraße 110;Mitte;52.53113130000001;13.3820307;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;210;4.4
963;sagrantino 136;Linienstraße 136;Mitte;52.526346;13.3890424;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;103;4.5
1227;CAFE RIBO;Ackerstraße 157;Mitte;52.5308912;13.3966282;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];False;Unknown;37;4.7
177;Alpenstück;Gartenstraße 9;Mitte;52.5302107;13.3919439;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Expensive;448;4.1
270;Risorante Bonfini;Chausseestraße 15;Mitte;52.5295573;13.3845739;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;516;4.2
1144;Distrikt Coffee;Bergstraße 68;Mitte;52.5315905;13.3941167;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];True;Moderate;1576;4.4
20;Restaurant einsunternull;Hannoversche Straße 1;Mitte;52.5272158;13.386004;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Very Expensive;283;4.0
195;Cafe Hermann Eicke;Brunnenstraße 45;Mitte;52.5373329;13.3970559;['cafe', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];False;Inexpensive;330;4.4
1162;Chicago Williams Berlin-Mitte GmbH;Hannoversche Straße 2;Mitte;52.5271865;13.3857927;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;1719;4.3
1164;eins essenundtrinken;eichendorffstraße 1;Mitte;52.5294801;13.3881074;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;72;4.7
296;Nhat Long Restaurant;Torstraße 210;Mitte;52.5276764;13.3908849;['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment'];True;Moderate;337;4.0
1253;Royals&Rice Berlin;Torstraße 164;Mitte;52.5289083;13.3960806;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;800;4.3
206;beets&roots;Große-Hamburger Straße 38;Mitte;52.5266445;13.398588;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;636;4.2
994;rebenkind;Invalidenstraße 104;Mitte;52.5298558;13.3812124;['bar', 'liquor_store', 'food', 'point_of_interest', 'store', 'establishment'];True;Unknown;16;5.0
1174;Restaurant Esszimmer;Scharnhorststraße 28-29;Mitte;52.53360299999999;13.371011;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Moderate;255;4.4
830;Café Bar Central;Brunnenstraße 49;Mitte;52.5381604;13.3965464;['cafe', 'meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment'];False;Moderate;253;4.3
131;Subway Catering;Chausseestraße 22;Mitte;52.530865;13.3829595;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;621;3.9
130;Subway;Am Borsigturm 2;Am Borsigturm;52.5860043;13.2866924;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;246;4.1
399;Subway;Tempelhofer Damm 227;Am Borsigturm;52.5860043;13.2866924;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;246;4.1
1011;Bötzow Privat;Linienstraße 113;Mitte;52.5274935;13.3926564;['restaurant', 'bar', 'food', 'point_of_interest', 'establishment'];True;Moderate;281;4.4
234;Röststätte Berlin;Ackerstraße 173;Mitte;52.5290239;13.3974463;['cafe', 'food', 'point_of_interest', 'store', 'establishment'];False;Unknown;295;4.5
236;Bowls & Booze;Torstraße 164;Mitte;52.5288602;13.3959879;['bar', 'point_of_interest', 'establishment'];True;Unknown;88;4.7
675;Hito Falafel;Chausseestraße 4;Mitte;52.5277295;13.3868654;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;66;4.9
593;Essen statt Kochen Lieferservice;Rheinsberger Straße 1;Lichtenberg;52.4923091;13.4866682;['food', 'point_of_interest', 'establishment'];True;Unknown;52;3.9
244;Essen statt Kochen;Am Treptower Park 51;Lichtenberg;52.4923091;13.4866682;['food', 'point_of_interest', 'establishment'];True;Unknown;52;3.9
770;CORDO;Große Hamburger Straße 32;Mitte;52.5257528;13.3989278;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Expensive;320;4.5
308;Izumo Restaurant-Sushi Bar;Kronenstraße 66;Mitte;52.5112976;13.3886859;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;930;4.3
1231;JOSEPH Restaurant;Friedrichstraße 113;Mitte;52.525958;13.3875966;['restaurant', 'meal_takeaway', 'food', 'point_of_interest', 'establishment'];False;Unknown;189;4.3
187;Quchnia;Markgrafenstraße 35;Mitte;52.51285;13.39366;['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;631;3.8
1069;Restaurant ALvis;Albrechtstraße 8;Mitte;52.52204399999999;13.384416;['restaurant', 'food', 'point_of_interest', 'establishment'];False;Unknown;128;4.4
1244;Peking Ente Berlin;Voßstraße 1;Mitte;52.511512;13.3828664;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;1284;4.1
22;STADTSALAT GmbH;Friedrichstraße 113;Mitte;52.52584;13.38769;['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;338;4.8
113;Restaurant theNOname;Oranienburger Straße 32;Mitte;52.5250164;13.3937241;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;39;4.7
1078;Restaurant acht&dreissig;Oranienburger Straße 38;Mitte;52.5254913;13.391468;['restaurant', 'food', 'point_of_interest', 'establishment'];True;Moderate;574;4.5
1168;Cadadia Suppenbar & Catering;Charlottenstraße 63;Mitte;52.5114972;13.3913299;['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment'];True;Unknown;154;4.1
