"id";"unique_id";"name";"strasse_nr";"plz";"art";"angebot";"lieferung";"beschreibung_lieferangebot";"selbstabholung";"angebot_selbstabholung";"fon";"w3";"mail";"montag";"dienstag";"mittwoch";"donnerstag";"freitag";"samstag";"sonntag"
"768";"262";"Brasserie la bonne franquette";"Chausseestraße 110";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Klassische Französische Küche";"FALSCH";"";"WAHR";"Bestellungen werden jederzeit entgegengenommen. Abholung (später auch Lieferung) immer dienstags bis samstags in der Zeit von 17 bis 21 Uhr";"+493094405363";"https://labonnefranquette.de";"essen@labonnefranquette.de";"";"17:00-21:00";"17:00-21:00";"17:00-21:00";"17:00-21:00";"17:00-21:00";""
"2823";"963";"sagrantino 136";"Linienstraße 136";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Italian fusion kitchen  3 -course menus by Matias Diaz  auch  a la  carte möglich zu  bestellen  , mit dem passenden Wein.";"FALSCH";"";"WAHR";"Abholungen vor Ort zwischen 15 bis 20 Uhr, bitte  20 min vorher anrufen.";"+493027909683";"https://www.sagrantino136.com";"booking@sagrantino136.com";"15:00-20:00";"15:00-20:00";"15:00-20:00";"15:00-20:00";"15:00-20:00";"15:00-20:00";""
"1803";"617";"Büroshop Koschel";"Invalidenstraße 154";"10115";"Bürobedarf";"Schreib- und Spielwarenladen";"WAHR";"";"FALSCH";"";"+49302859659";"https://www.claireshop.de";"info@claireshop.de";"";"";"";"";"";"";""
"3597";"1227";"CAFE RIBO";"Ackerstraße 157";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Maultaschen, schwäbische küche, cafe";"FALSCH";"";"WAHR";"";"+4917621455203";"https://www.caferibo.de";"";"09:00-16:00";"09:00-16:00";"09:00-16:00";"09:00-16:00";"09:00-16:00";"";""
"528";"177";"Alpenstück";"Gartenstraße 9";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Süddeutsche Spezialitäten wie Maultaschen Königsberger Klopse, Spätzle, Gulasch, Suppen";"FALSCH";"";"WAHR";"wir bereiten täglich ein Mittagsgericht zum Abholen zu";"+493021751646";"https://alpenstueck.de";"info@alpenstueck.de";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00";"12:00-18:00"
"789";"270";"Risorante Bonfini";"Chausseestraße 15";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Italienische Küche, Pasta und Pizza";"FALSCH";"";"WAHR";"";"+493095614848";"https://www.bonfini.de";"bestellung@bonfini.de";"12:00-22:00";"12:00-22:00";"12:00-22:00";"12:00-22:00";"12:00-22:00";"12:00-22:00";"12:00-22:00"
"3351";"1144";"Distrikt Coffee";"Bergstraße 68";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Specialty coffee, drinks, brunch, lunch, pastries and cakes";"WAHR";"2km radius.";"WAHR";"Jeden Tag 10-16 Uhr";"+4917643271897";"https://www.distriktcoffee.de";"info@distriktcoffee.de";"10:00-16:00";"10:00-16:00";"10:00-16:00";"10:00-16:00";"10:00-16:00";"10:00-16:00";"10:00-16:00"
"60";"20";"Restaurant einsunternull";"Hannoversche Straße 1";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Berliner Proviant Box mit Wein";"WAHR";"Lieferungen werden per DHL an Sie versendet";"FALSCH";"";"+493027577810";"https://restaurant-einsunternull.de/produkt/berliner-proviant/";"kontakt@einsunternull.com";"";"";"";"";"";"";""
"3651";"1245";"Tigertörtchen - Berlin Cupcakes";"Chausseestraße 60";"10115";"Anderes (bitte bei der nächsten Frage beschreiben)";"Konditorei, spezialisiert auf Cucpakes, Cake-Pops, Macarons, Torten sowie Kaffeespezialitäten.";"WAHR";"Vergünstigte Lieferung zu besonderen Terminen. Ansonsten persönliche Lieferung bei Vorabbestellung.";"WAHR";"Abholung von Cupcakes, Cake-Pops und Macarons täglich zwischen 08:00 Uhr und 18:00 Uhr. Keine Vorbestellung notwendig.";"+493067969051";"https://www.tigertoertchen.de";"info@tigertoertchen.de";"08:00-18:00";"08:00-18:00";"08:00-18:00";"08:00-18:00";"08:00-18:00";"08:00-18:00";"08:00-18:00"
"582";"195";"Cafe Hermann Eicke";"Brunnenstraße 45";"10115";"Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.)";"Kaffee,Backwaren, Mittagslunch";"FALSCH";"";"WAHR";"";"+493088538222";"https://hermanneicke.de";"cafe@hermanneicke.de";"09:00-14:00";"09:00-14:00";"09:00-14:00";"09:00-14:00";"09:00-14:00";"09:00-14:00";"09:00-14:00"
