unique_id;name;strasse_nr;art;lieferung;fon;name_street;fon_place_id;name_place_id
262;Brasserie la bonne franquette;Chausseestraße 110;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493094405363;Brasserie la bonne franquette Chausseestraße 110;['ChIJow5SxuxRqEcRpk680jewg50'];['ChIJow5SxuxRqEcRpk680jewg50']
963;sagrantino 136;Linienstraße 136;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493027909683;sagrantino 136 Linienstraße 136;['ChIJU6pM1j5RqEcRblPfq5OJZp4'];['ChIJU6pM1j5RqEcRblPfq5OJZp4']
1227;CAFE RIBO;Ackerstraße 157;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4917621455203;CAFE RIBO Ackerstraße 157;['ChIJm3_SgO9RqEcRPsCFGSCiw4U'];['ChIJm3_SgO9RqEcRPsCFGSCiw4U']
177;Alpenstück;Gartenstraße 9;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493021751646;Alpenstück Gartenstraße 9;[];['ChIJR2gy_e5RqEcRRJE4cQBY_ug']
270;Risorante Bonfini;Chausseestraße 15;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493095614848;Risorante Bonfini Chausseestraße 15;['ChIJhx78J9EjZUERI2jYna3X5pI'];['ChIJhx78J9EjZUERI2jYna3X5pI']
1144;Distrikt Coffee;Bergstraße 68;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917643271897;Distrikt Coffee Bergstraße 68;[];['ChIJ--YdvO9RqEcRWbP6iaXaoew']
20;Restaurant einsunternull;Hannoversche Straße 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493027577810;Restaurant einsunternull Hannoversche Straße 1;['ChIJ_7T13OtRqEcRykkW1_-ATbc'];['ChIJ_7T13OtRqEcRykkW1_-ATbc']
195;Cafe Hermann Eicke;Brunnenstraße 45;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493088538222;Cafe Hermann Eicke Brunnenstraße 45;['ChIJ0awbwfBRqEcR-ZGkXYpSkSo'];['ChIJ0awbwfBRqEcR-ZGkXYpSkSo']
1162;Chicago Williams Berlin-Mitte GmbH;Hannoversche Straße 2;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493028042423;Chicago Williams Berlin-Mitte GmbH Hannoversche Straße 2;['ChIJ4Wce2-tRqEcRcPKUr56ZrA8'];['ChIJ4Wce2-tRqEcRcPKUr56ZrA8']
1164;eins essenundtrinken;eichendorffstraße 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493099278701;eins essenundtrinken eichendorffstraße 1;['ChIJ35Aup-5RqEcRmTP_hn5md_8'];['ChIJ35Aup-5RqEcRmTP_hn5md_8']
296;Nhat Long Restaurant;Torstraße 210;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493067962236;Nhat Long Restaurant Torstraße 210;['ChIJt7KO1-hRqEcRLT4aTcLRDvs'];['ChIJt7KO1-hRqEcRLT4aTcLRDvs']
1253;Royals&Rice Berlin;Torstraße 164;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493066405111;Royals&Rice Berlin Torstraße 164;['ChIJ6c3F8-VRqEcRiicxeI5EOTI'];['ChIJ6c3F8-VRqEcRiicxeI5EOTI']
206;beets&roots;Große-Hamburger Straße 38;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491734093502;beets&roots Große-Hamburger Straße 38;[];['ChIJ710vj-ZRqEcRN7hykiDjS5A']
994;rebenkind;Invalidenstraße 104;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493027993733;rebenkind Invalidenstraße 104;['ChIJ3eIXp-BRqEcRJBreG-BVHkU'];['ChIJ3eIXp-BRqEcRJBreG-BVHkU']
36;essen--fassen;Rheinsberger Straße 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+491734797784;essen--fassen Rheinsberger Straße 1;[];['ChIJzRKcAfFRqEcRXwtjGvqEteo']
1174;Restaurant Esszimmer;Scharnhorststraße 28-29;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493020215301;Restaurant Esszimmer Scharnhorststraße 28-29;['ChIJ56t3-ZBRqEcRMfNqcJgpjfA'];['ChIJ56t3-ZBRqEcRMfNqcJgpjfA']
830;Café Bar Central;Brunnenstraße 49;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4915204463307;Café Bar Central Brunnenstraße 49;[];['ChIJB1sU0fBRqEcRAw7ElwDRa6M']
131;Subway Catering;Chausseestraße 22;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4915201925004;Subway Catering Chausseestraße 22;[];['ChIJTyKe6-xRqEcR1uRBjE4mpdM']
130;Subway;Am Borsigturm 2;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4915201925004;Subway Am Borsigturm 2;[];['ChIJYdKLpWlUqEcRGhmJjmOhTvg']
399;Subway;Tempelhofer Damm 227;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+4917687837110;Subway Tempelhofer Damm 227;[];['ChIJYdKLpWlUqEcRGhmJjmOhTvg']
224;Swipeby.de;Wöhlerstraße 12-13;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493028448108;Swipeby.de Wöhlerstraße 12-13;[];['ChIJbUzdlI1RqEcRCRhoCv3gZOA']
1011;Bötzow Privat;Linienstraße 113;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+491774655251;Bötzow Privat Linienstraße 113;[];['ChIJaQ96yOhRqEcRMuG_0X8RyII']
234;Röststätte Berlin;Ackerstraße 173;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+493040501650;Röststätte Berlin Ackerstraße 173;['ChIJLc-Nv-VRqEcRPoL5jV8hMaI', 'ChIJE28svuVRqEcREm-W3-MdbkM', 'ChIJ28bx5PJUqEcR4Rw1KnQ3SIg', 'ChIJ18Mc3-BRqEcRGfPwlRhCovA'];['ChIJLc-Nv-VRqEcRPoL5jV8hMaI']
236;Bowls & Booze;Torstraße 164;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493062924947;Bowls & Booze Torstraße 164;['ChIJsdLQZjVRqEcRKJLpQY9_tRI'];['ChIJgSEQ7uVRqEcR8yp6N97R6F8']
675;Hito Falafel;Chausseestraße 4;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);FALSCH;+4917684670050;Hito Falafel Chausseestraße 4;['ChIJJdCKFdBRqEcRO5Uz93cVPWM'];['ChIJJdCKFdBRqEcRO5Uz93cVPWM']
593;Essen statt Kochen Lieferservice;Rheinsberger Straße 1;Gastronomie (Café, Restaurant, Imbiss, Lebensmittelhandlung, usw.);WAHR;+493076677763;Essen statt Kochen Lieferservice Rheinsberger Straße 1;['ChIJgx1C4hpPqEcRr-bIXXakW-4'];['ChIJgx1C4hpPqEcRr-bIXXakW-4']
